threshold,recallSensitivity,specificity,precision,f1,accuracy,balancedAccuracy,negativePredictiveValue,tn,fp,fn,tp,auroc,auprc,brier,ece
0.551,0.8141750243182504,0.7241155819605725,0.7808924301079881,0.7971864907767255,0.7733808769472597,0.7691453031394114,0.7634096344379911,53628,20432,16620,72819,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.552,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.553,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.554,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.555,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.556,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.557,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.558,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.559,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.56,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.561,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.562,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.563,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.564,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.565,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.566,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.567,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.568,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
0.569,0.7702903655005088,0.7807318390494193,0.8092514066225788,0.7892903787548977,0.7750200307035517,0.7755111022749641,0.7378327335834418,57821,16239,20545,68894,0.8585310332416014,0.8735997872319208,0.15257531756726536,0.014581453209153465
